GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-619666105,SushiGo,3,GAME_OVER,60,0,2,2,rhea,46.0,58.0,rhea_test,2,rhea,2,1,1,rhea_test,rhea_test,rhea,0
-428737539,SushiGo,3,GAME_OVER,60,0,2,3,rhea,57.0,51.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
-1436161366,SushiGo,3,GAME_OVER,60,0,2,4,rhea_test,53.0,62.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
697067980,SushiGo,3,GAME_OVER,60,0,2,5,rhea,46.0,49.0,rhea_test,2,rhea,2,1,1,rhea_test,rhea_test,rhea,0
-1491060889,SushiGo,3,GAME_OVER,60,0,2,6,rhea,66.0,46.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
-2121274456,SushiGo,3,GAME_OVER,60,0,2,7,rhea_test,47.0,53.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
1706137030,SushiGo,3,GAME_OVER,60,0,2,8,rhea_test,67.0,58.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
1376458976,SushiGo,3,GAME_OVER,60,0,2,9,rhea_test,69.0,51.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
813477029,SushiGo,3,GAME_OVER,62,0,2,10,rhea_test,54.0,70.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
-118322159,SushiGo,3,GAME_OVER,60,0,2,11,rhea,73.0,53.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
1144294523,SushiGo,3,GAME_OVER,60,0,2,12,rhea_test,54.0,64.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
23994827,SushiGo,3,GAME_OVER,62,0,2,13,rhea_test,49.0,71.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
2013120665,SushiGo,3,GAME_OVER,60,0,2,14,rhea_test,49.0,57.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
-1377239692,SushiGo,3,GAME_OVER,60,0,2,15,rhea,56.0,60.0,rhea_test,2,rhea,2,1,1,rhea_test,rhea_test,rhea,0
-1548656463,SushiGo,3,GAME_OVER,60,0,2,16,rhea,56.0,56.0,rhea_test,2,rhea,2,1,1,rhea_test,rhea_test,rhea,0
-400394132,SushiGo,3,GAME_OVER,60,0,2,17,rhea_test,41.0,58.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
-1113178468,SushiGo,3,GAME_OVER,60,0,2,18,rhea,67.0,64.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
1362911089,SushiGo,3,GAME_OVER,60,0,2,19,rhea_test,56.0,47.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
1416514647,SushiGo,3,GAME_OVER,61,0,2,20,rhea,54.0,52.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
-1532681659,SushiGo,3,GAME_OVER,61,0,2,21,rhea_test,61.0,63.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
1950377550,SushiGo,3,GAME_OVER,60,0,2,22,rhea_test,51.0,54.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
-1652369011,SushiGo,3,GAME_OVER,60,0,2,23,rhea,54.0,46.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
1939385821,SushiGo,3,GAME_OVER,61,0,2,24,rhea,67.0,55.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
-382843140,SushiGo,3,GAME_OVER,61,0,2,25,rhea_test,62.0,54.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
-1825767405,SushiGo,3,GAME_OVER,60,0,2,26,rhea_test,46.0,46.0,rhea,1,rhea_test,1,1,1,rhea,rhea,rhea_test,-1
-1466223696,SushiGo,3,GAME_OVER,60,0,2,27,rhea,60.0,63.0,rhea_test,2,rhea,2,1,1,rhea_test,rhea_test,rhea,0
-622095176,SushiGo,3,GAME_OVER,61,0,2,28,rhea_test,71.0,49.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
2021511387,SushiGo,3,GAME_OVER,60,0,2,29,rhea,57.0,48.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
1955989905,SushiGo,3,GAME_OVER,61,0,2,30,rhea_test,75.0,55.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
-1294795098,SushiGo,3,GAME_OVER,60,0,2,31,rhea,69.0,48.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
-991207967,SushiGo,3,GAME_OVER,60,0,2,32,rhea,48.0,57.0,rhea_test,2,rhea,2,1,1,rhea_test,rhea_test,rhea,0
-2039767727,SushiGo,3,GAME_OVER,60,0,2,33,rhea,73.0,59.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
1115136563,SushiGo,3,GAME_OVER,61,0,2,34,rhea,70.0,43.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
-394703714,SushiGo,3,GAME_OVER,60,0,2,35,rhea_test,42.0,55.0,rhea,2,rhea_test,2,1,1,rhea,rhea,rhea_test,0
491282519,SushiGo,3,GAME_OVER,60,0,2,36,rhea,65.0,63.0,rhea_test,1,rhea,1,2,2,rhea_test,rhea_test,rhea,1
991772015,SushiGo,3,GAME_OVER,60,0,2,37,rhea_test,85.0,59.0,rhea,1,rhea_test,1,2,2,rhea,rhea,rhea_test,1
